Model,Vendor,SerialNumber,AssetTagging,Age,ServiceTag
DELLP2219H,TRENDS,CN-078DVT-QDC00-98M-3L7B-A05,OSS-M445,5,731Y7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6R5B-A06,OSS-M557,5,1BNS8W2
DELLP2219H,TRENDS,CN-08M8YV-QDC00-941-1CRL-A03,OSS-M208,7,BRW6ZS2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53UL-A02,OSS-M176,7,62GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-549L-A02,OSS-M175,7,33GRTL2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7C4B-A03,OSS-M174,6,84BKYS2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1APB-A05,OSS-M444,5,CHLH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RJB-A06,OSS-M591,5,79MS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7D4B-A03,OSS-M182,5,BZ9KYS2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7CKB-A03,OSS-M186,5,33BKYS2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-284L-A02,OSS-M179,7,GP5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-27AL-A02,OSS-M178,7,7N5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-54AL-A02,OSS-M183,7,43GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-282L-A02,OSS-M181,7,DP5RTL2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7C9B-A03,OSS-M185,5,14BKYS2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1E0B-A05,OSS-M501,5,1YKH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1AYB-A05,OSS-M538,5,DCLH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PUB-A06,OSS-M549,5,JNNS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RTB-A06,OSS-M590,5,4ZMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1D5B-A05,OSS-M496,5,HXKH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1CCB-A05,OSS-M521,5,D4LH7W2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-287L-A02,OSS-M141,7,1Q5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-29AL-A02,OSS-M149,7,1S5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-259L-A02,OSS-M144,7,DJ5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-28PL-A02,OSS-M143,7,JQ5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-28NL-A02,OSS-M151,7,HQ5RTL2
DELLP2219H,TRENDS,CN-078DVT-QDC00-923-09FU-A03,OSS-M158,6,418PYS2
DELLP2219H,TRENDS,CN-078DVT-QDC00-8AB-484B-A02,OSS-M207,6,BNHYPP2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-291L-A02,OSS-M145,7,8R5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53WL-A02,OSS-M152,7,82GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-28LL-A02,OSS-M156,7,FQ5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53DL-A02,OSS-M157,7,91GRTL2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7CUB-A03,OSS-M148,5,H3BKYS2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7C6B-A03,OSS-M155,5,G2BKYS2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7D8B-A03,OSS-M147,5,81BKYS2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7TJB-A03,OSS-M154,5,6GDKYS2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7A1B-A03,OSS-M165,5,C3BKYS2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-27LL-A02,OSS-M162,7,JN5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-541L-A02,OSS-M169,7,C2GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-27TL-A02,OSS-M160,7,5P5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53VL-A02,OSS-M167,7,72GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53LL-A02,OSS-M161,7,J1GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-28EL-A02,OSS-M168,7,7Q5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-52LL-A02,OSS-M164,7,30GRTL2
